"osm_id";"ref_insee"
-2367093;"54461"
-1240076;"76443"
-453069;"25468"
-56243;"59178"
-145625;"21456"
-107441;"72035"
-147176;"21435"
-946563;"87087"
-2162170;"2A174"
-108304;"35086"
-1368798;"57328"
-145113;"01263"
-1217243;"91247"
-154448;"85033"
-3286390;"08212"
-1637042;"60022"
-935195;"88255"
-2238163;"71514"
-1780499;"54474"
-525565;"33293"
-116464;"87125"
-3280591;"08254"
-2885416;"54105"
-158874;"14156"
-77055;"2B002"
-403043;"77237"
-1048769;"42188"
-166739;"64130"
-88334;"26205"
-2827316;"152"
-124668;"17231"
-117452;"87116"
-88834;"33543"
-48099;"68261"
-387047;"22139"
-1253507;"57535"
-150367;"02060"
-55578;"59108"
-2978816;"55552"
-154239;"17006"
-145900;"21550"
-122880;"57624"
-252547;"79336"
-122626;"25188"
-2373401;"54322"
-127159;"32358"
-2131168;"58148"
-74919;"73146"
-358526;"63331"
-120555;"19024"
-3044682;"61008"
-1465588;"06081"
-1913120;"51222"
-140327;"01317"
-145037;"82180"
-55945;"59488"
-2995508;"10376"
-1371251;"12065"
-168991;"14203"
-2702218;"47119"
-912201;"71270"
-73330;"78372"
-2785998;"03232"
-3318012;"61238"
-2658060;"51112"
-2470051;"65256"
-2260188;"65003"
-127681;"16384"
-131841;"21384"
-277348;"34151"
-2127359;"71136"
-127539;"32047"
-3020475;"76263"
-86458;"26015"
-2148503;"64206"
-69293;"68019"
-1125422;"53237"
-74787;"78668"
-150574;"02122"
-127105;"32129"
-107461;"72313"
-1405115;"31382"
-398298;"95675"
-1190905;"76260"
-913374;"60041"
-2996873;"10408"
-551831;"27584"
-1667596;"335"
-125396;"32309"
-55471;"59445"
-2417329;"2A019"
-104843;"74290"
-1876929;"54597"
-165340;"45249"
-911236;"71032"
-1069679;"18242"
-2163837;"64094"
-959434;"36182"
-1742877;"16108"
-160967;"58302"
-1404408;"29123"
-144974;"35247"
-2885752;"71210"
-1983314;"11437"
-1162684;"57123"
-2399814;"89254"
-1136131;"67395"
-365976;"95480"
-179511;"62473"
-147328;"01453"
-2993354;"55353"
-135950;"82136"
-139218;"86056"
-1357852;"248500712"
-2141202;"36116"
-145499;"01151"
-1771704;"57736"
-87259;"88182"
-1963409;"09054"
-2978585;"55265"
-103713;"39059"
-395016;"42334"
-2085679;"2A027"
-2440286;"11064"
-1804785;"09207"
-55952;"59167"
-122400;"57532"
-1363083;"242504439"
-357834;"22002"
-123205;"46146"
-2088369;"247400666"
-2529848;"64429"
-126440;"63089"
-906814;"42129"
-902705;"42166"
-146634;"69209"
-2766638;"51489"
-539175;"69058"
-2809778;"64039"
-1663299;"243700770"
-255710;"34341"
-1356210;"245600457"
-444225;"78502"
-1236000;"62465"
-131627;"21427"
-274444;"41260"
-146628;"01358"
-167226;"85138"
-2178952;"244000832"
-146533;"79005"
-124659;"17054"
-403824;"48086"
-3027743;"43048"
-89471;"33548"
-401187;"50601"
-324376;"49345"
-74506;"40096"
-33263;"91235"
-2941888;"19168"
-2503228;"65015"
-1480073;"31522"
-1119088;"17484"
-547332;"61112"
-1102278;"19188"
-2690216;"62009"
-165343;"45256"
-60356;"26270"
-153458;"02549"
-118244;"23037"
-103394;"74112"
-1410563;"10099"
-1289505;"77511"
-2753120;"11186"
-453034;"25227"
-156107;"21333"
-76044;"40120"
-55884;"59438"
-140254;"01360"
-1539379;"76058"
-1083204;"18236"
-2067319;"47008"
-1014808;"50282"
-2073111;"246000897"
-76043;"40212"
-275988;"41102"
-2156989;"246301006"
-3251428;"24135"
-1490463;"54505"
-78119;"11190"
-935977;"42126"
-1077488;"63246"
-191483;"18134"
-123365;"35056"
-1297107;"79350"
-90483;"16287"
-7408;"37"
-1927096;"10346"
-86239;"88081"
-2554130;"65126"
-166728;"64189"
-1245476;"70292"
-158802;"39167"
-2066785;"76284"
-179475;"62736"
-1401444;"80216"
-1275601;"70341"
-224134;"16001"
-118075;"90020"
-2465240;"80210"
-949548;"70364"
-122784;"25031"
-3344291;"89406"
-2238447;"19219"
-906086;"49347"
-78909;"26163"
-58028;"59052"
-2952388;"02527"
-280587;"14728"
-2985251;"55482"
-2474464;"65101"
-1203376;"76277"
-287411;"48101"
-3009868;"76065"
-70139;"67246"
-1108106;"50123"
-170046;"85247"
-539823;"42317"
-3247647;"80270"
-276905;"28085"
-563134;"29221"
-135537;"86065"
-2717065;"245701271"
-146468;"21143"
-2707455;"242100030"
-3327682;"27374"
-285738;"41118"
-142349;"69263"
-111721;"62533"
-141914;"76470"
-131370;"73150"
-145135;"88495"
-1897900;"07022"
-1451180;"81053"
-2960076;"54411"
-270477;"41141"
-76394;"38537"
-140803;"39297"
-395919;"47158"
-1734201;"70352"
-54527;"35067"
-399316;"22091"
-123611;"46269"
-2165715;"042"
-1067808;"50341"
-938055;"88036"
-414453;"13076"
-2066304;"10234"
-104754;"76088"
-3071244;"52320"
-2180635;"30112"
-146296;"24413"
-134295;"82034"
-111600;"25014"
-375404;"67287"
-74782;"27336"
-2607880;"51269"
-1433069;"77184"
-254381;"87011"
-2005629;"243500600"
-2065596;"09081"
-77202;"12147"
-906795;"35361"
-1108702;"39493"
-138348;"86095"
-111896;"48025"
-2617352;"11083"
-75628;"76540"
-1379877;"40259"
-2235495;"43053"
-273497;"66144"
-301738;"49165"
-1591228;"81077"
-1159482;"70220"
-164198;"34099"
-114746;"87009"
-1966994;"40135"
-556871;"05025"
-150531;"02144"
-2960527;"54553"
-79434;"68350"
-158246;"60703"
-119427;"23149"
-2461313;"15227"
-2588356;"51425"
-1268674;"64367"
-905904;"68193"
-111608;"25629"
-255534;"28309"
-56360;"59158"
-280134;"14557"
-1449746;"81104"
-158438;"60700"
-2603372;"11163"
-1916752;"249500398"
-3344430;"71563"
-140095;"69253"
-1431284;"77353"
-131538;"73323"
-93005;"33457"
-90328;"57355"
-147938;"39049"
-2180216;"11043"
-391353;"68273"
-164199;"69290"
-114631;"90016"
-1164667;"62373"
-1912453;"57286"
-1979039;"11153"
-1206400;"62157"
-2149991;"247300528"
-83250;"38367"
-153740;"21320"
-1217000;"27407"
-120309;"23199"
-337939;"79269"
-944017;"42063"
-186893;"04209"
-89256;"33546"
-373983;"64398"
-1780794;"2B074"
-141625;"25262"
-138894;"14354"
-398893;"38520"
-115185;"57214"
-155544;"39070"
-148960;"84044"
-1707904;"54098"
-939392;"88139"
-125357;"03189"
-124353;"46240"
-73432;"2B148"
-2946280;"19104"
-1473517;"31086"
-452904;"29021"
-226710;"38417"
-1231314;"60242"
-2136777;"04177"
-944005;"42098"
-2699975;"83021"
-1541792;"52151"
-1102483;"61079"
-161120;"58149"
-1350508;"242504447"
-296314;"70290"
-2145181;"36227"
-149901;"35143"
-145685;"01129"
-1376393;"241200807"
-2125492;"57600"
-295490;"97206"
-2931063;"19150"
-3031912;"15230"
-160911;"45150"
-2699339;"47010"
-1314591;"80476"
-401918;"50398"
-1167813;"62476"
-396757;"16381"
-2178939;"244000774"
-3205330;"52289"
-1903477;"57737"
-2456819;"71341"
-2201473;"284"
-146061;"35342"
-2897406;"76264"
-1144849;"62164"
-1771709;"57573"
-252633;"69047"
-139095;"21002"
-1527524;"81178"
-958697;"37170"
-161709;"39482"
-418840;"52140"
-1726608;"247900681"
-2973029;"80032"
-1770974;"47221"
-3323266;"27447"
-107373;"72155"
-110866;"63113"
-126376;"63293"
-82933;"38481"
-55830;"59179"
-279244;"14491"
-3085881;"52138"
-307863;"18116"
-123847;"46163"
-1770349;"63183"
-141234;"21669"
-1552662;"76269"
-134313;"35351"
-2972651;"55089"
-161435;"31216"
-2452775;"57165"
-3006300;"64524"
-2918454;"62303"
-1776992;"02534"
-105108;"74203"
-254664;"34148"
-108591;"42324"
-2167715;"243400413"
-1774048;"10382"
-276918;"28070"
-2915747;"62301"
-29339;"35055"
-117866;"17245"
-1362316;"77481"
-302060;"49297"
-2894029;"62459"
-1837796;"09220"
-134026;"14585"
-120017;"23187"
-2773994;"47035"
-531042;"35290"
-180248;"23240"
-76348;"05106"
-138173;"25046"
-1410650;"57184"
-97212;"33166"
-1841565;"58045"
-131471;"32190"
-3336906;"71421"
-1111135;"61405"
-83752;"68014"
-904674;"52060"
-543661;"95157"
-2760232;"51555"
-1225210;"27319"
-2707480;"242101343"
-147374;"44161"
-2243094;"11318"
-332697;"49322"
-2084960;"245901087"
-91910;"67186"
-422223;"79267"
-1459595;"31130"
-279377;"41215"
-2032836;"15098"
-2693318;"248800682"
-144175;"81100"
-76376;"24011"
-150063;"79226"
-1323576;"25500"
-2742573;"51386"
-1108655;"19014"
-2191397;"7511144"
-531491;"60481"
-398701;"38391"
-536620;"95348"
-1872089;"54301"
-296444;"70345"
-146776;"01141"
-2506550;"61025"
-3044771;"15137"
-72105;"13025"
-1665876;"241800432"
-164065;"34081"
-161208;"70529"
-1646846;"822"
-1137254;"67527"
-86731;"35039"
-138962;"01057"
-107631;"72352"
-1136093;"69151"
-3289621;"084"
-67991;"59088"
-1300499;"80099"
-2897231;"71115"
-2520361;"245400635"
-76306;"37261"
-121902;"42099"
-2804134;"03059"
-3028821;"15069"
-386168;"68357"
-272147;"41245"
-1794561;"57501"
